timestamp,label,src_mac,dst_mac,src_mac_oui,dst_mac_oui,vlan_tag,src_ip,dst_ip,ip_version,ttl,ip_flags,fragment_offset,packet_length,protocol,src_port,dst_port,tcp_flags,seq_number,ack_number,window_size,tcp_checksum,urgent_pointer,udp_length,udp_checksum,payload_size,payload_entropy,payload_printable,dns_query,dns_query_length,dns_response,dns_rcode,http_method,http_host,http_path,http_user_agent,http_status_code,tls_detected,arp_op,arp_src_ip,arp_dst_ip,arp_src_mac
2026-05-03T17:53:46.874646+00:00,normal,08:00:27:35:33:e0,ff:ff:ff:ff:ff:ff,08:00:27,FF:FF:FF,,0.0.0.0,255.255.255.255,4,64,,0,346,UDP,68,67,,,,,,,312,52238,0,0.0,False,,,,,,,,,,False,,,,
2026-05-03T17:53:48.693048+00:00,normal,08:00:27:81:ab:00,ff:ff:ff:ff:ff:ff,08:00:27,FF:FF:FF,,192.168.10.10,192.168.10.20,,,,,60,ARP,,,,,,,,,,,0,0.0,False,,,,,,,,,,False,request,192.168.10.10,192.168.10.20,08:00:27:81:ab:00
2026-05-03T17:53:48.712874+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,,,,,60,ARP,,,,,,,,,,,0,0.0,False,,,,,,,,,,False,reply,192.168.10.20,192.168.10.10,08:00:27:35:33:e0
2026-05-03T17:53:48.725631+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,DF,0,98,ICMP,,,,,,,,,,,56,5.2622,True,,,,,,,,,,False,,,,
2026-05-03T17:53:48.740753+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,,0,98,ICMP,,,,,,,,,,,56,5.2622,True,,,,,,,,,,False,,,,
2026-05-03T17:53:49.701428+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,DF,0,98,ICMP,,,,,,,,,,,56,5.1278,True,,,,,,,,,,False,,,,
2026-05-03T17:53:49.716585+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,,0,98,ICMP,,,,,,,,,,,56,5.1278,True,,,,,,,,,,False,,,,
2026-05-03T17:53:50.709179+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,DF,0,98,ICMP,,,,,,,,,,,56,5.1784,True,,,,,,,,,,False,,,,
2026-05-03T17:53:50.724166+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,,0,98,ICMP,,,,,,,,,,,56,5.1784,True,,,,,,,,,,False,,,,
2026-05-03T17:53:51.746719+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,DF,0,98,ICMP,,,,,,,,,,,56,5.2142,True,,,,,,,,,,False,,,,
2026-05-03T17:53:51.774612+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,,0,98,ICMP,,,,,,,,,,,56,5.2142,True,,,,,,,,,,False,,,,
2026-05-03T17:53:52.750384+00:00,normal,08:00:27:81:ab:00,08:00:27:35:33:e0,08:00:27,08:00:27,,192.168.10.10,192.168.10.20,4,64,DF,0,98,ICMP,,,,,,,,,,,56,5.2142,True,,,,,,,,,,False,,,,
2026-05-03T17:53:52.765462+00:00,normal,08:00:27:35:33:e0,08:00:27:81:ab:00,08:00:27,08:00:27,,192.168.10.20,192.168.10.10,4,64,,0,98,ICMP,,,,,,,,,,,56,5.2142,True,,,,,,,,,,False,,,,
